Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2022-01-01,1:00 AM,43ʡF,41ʡF,93ʡ%,W,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,1:30 AM,45ʡF,41ʡF,87ʡ%,NW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,2:00 AM,43ʡF,41ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,2:30 AM,45ʡF,41ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,3:00 AM,43ʡF,41ʡF,93ʡ%,WNW,6ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,3:30 AM,43ʡF,39ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,4:00 AM,41ʡF,37ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,4:30 AM,41ʡF,37ʡF,87ʡ%,W,2ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,5:00 AM,41ʡF,37ʡF,87ʡ%,W,2ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,5:30 AM,39ʡF,37ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,6:00 AM,39ʡF,37ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,6:30 AM,39ʡF,37ʡF,93ʡ%,NW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,7:00 AM,41ʡF,37ʡF,87ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,7:30 AM,39ʡF,37ʡF,93ʡ%,W,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,8:00 AM,37ʡF,36ʡF,93ʡ%,WNW,3ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,8:30 AM,39ʡF,36ʡF,87ʡ%,NW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,9:00 AM,39ʡF,36ʡF,87ʡ%,NW,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,9:30 AM,39ʡF,36ʡF,87ʡ%,W,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,10:00 AM,39ʡF,37ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,10:30 AM,43ʡF,37ʡF,81ʡ%,VAR,1ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,11:00 AM,46ʡF,39ʡF,76ʡ%,W,2ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,11:30 AM,50ʡF,41ʡF,71ʡ%,VAR,2ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair
2022-01-01,12:00 PM,55ʡF,43ʡF,63ʡ%,VAR,2ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair
2022-01-01,12:30 PM,59ʡF,43ʡF,55ʡ%,CALM,0ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair
2022-01-01,1:00 PM,61ʡF,43ʡF,52ʡ%,ESE,3ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair
2022-01-01,1:30 PM,61ʡF,43ʡF,52ʡ%,SE,5ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,2:00 PM,61ʡF,45ʡF,55ʡ%,ESE,6ʡmph,0ʡmph,30.09ʡin,0.0ʡin,Fair
2022-01-01,2:30 PM,63ʡF,45ʡF,52ʡ%,SE,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-01,3:00 PM,63ʡF,46ʡF,55ʡ%,SE,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2022-01-01,3:30 PM,63ʡF,48ʡF,59ʡ%,ESE,6ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
2022-01-01,4:00 PM,63ʡF,48ʡF,59ʡ%,SE,7ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
